"Назва","Чистий процентний дохід/(Чисті процентні витрати)","Усього власного капіталу","Кошти клієнтів","Кредити та заборгованість клієнтів","Загальні активи, усього"
"ПуАТ ""КБ ""АКОРДБАНК""","233,200","317,533","3,894,456","1,058,814","6,669,350"
"АТ ""КБ ""ГЛОБУС""","289,161","488,187","4,027,877","2,250,582","5,563,577"
"АТ АКБ ""Львів""","190,184","419,751","2,775,833","2,146,981","5,042,892"
"АТ ""БАНК СІЧ""","87,726","226,823","2,568,816","637,391","4,769,544"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","266,364","597,309","3,273,081","1,023,961","4,634,714"
"АКБ ""ІНДУСТРІАЛБАНК""","259,389","1,264,963","2,473,639","951,640","4,601,074"
"АТ ""МІБ""","141,607","412,513","2,152,768","600,177","3,996,947"
"АБ ""КЛІРИНГОВИЙ ДІМ""","135,412","620,248","2,077,732","741,772","3,586,647"
"АТ ""Полтава-банк""","154,075","776,859","2,254,256","821,333","3,256,369"
"АТ ""АБ ""РАДАБАНК""","170,932","337,622","2,143,885","746,660","3,205,981"
"АТ ""КІБ""","127,057","290,488","2,455,911","1,078,008","3,131,095"
"АТ ""КРИСТАЛБАНК""","123,714","293,751","2,060,326","426,306","2,952,558"
"АТ ""АКБ ""КОНКОРД""","55,756","331,600","2,022,458","454,016","2,826,118"
"АТ ""РВС БАНК""","57,603","255,667","1,354,781","214,004","2,328,526"
"АТ ""АЙБОКС БАНК""","50,980","364,559","1,535,080","229,138","2,115,272"
"АТ ""УКРБУДІНВЕСТБАНК""","54,981","234,120","1,550,864","508,410","1,976,153"
"АТ ""БАНК АВАНГАРД""","78,853","244,238","789,622","54,486","1,975,096"
"АТ ""БАНК ""ГРАНТ""","128,489","605,950","1,259,604","697,966","1,963,748"
"АТ ""МОТОР-БАНК""","62,757","321,335","1,535,408","418,871","1,881,596"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","109,318","361,682","987,946","429,164","1,847,490"
"АТ ""АП БАНК""","81,694","340,496","903,515","644,404","1,740,515"
"АТ ""АЛЬТБАНК""","45,860","247,796","1,220,911","202,273","1,580,218"
"АТ ""АСВІО БАНК""","76,125","453,066","908,746","325,957","1,499,364"
"АТ ""БАНК 3/4""","108,979","548,756","279,207","179,830","1,400,793"
"АТ ""КОМІНВЕСТБАНК""","23,629","311,030","988,950","210,742","1,388,996"
"АТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","34,474","247,438","706,823","312,969","1,301,916"
"АТ ""МетаБанк""","58,598","356,519","641,927","417,620","1,110,615"
"АТ ""СКАЙ БАНК""","10,543","187,277","547,016","130,068","1,100,759"
"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","73,623","233,459","661,322","594,811","956,984"
"АТ ""ЮНЕКС БАНК""","85,231","241,352","516,522","141,563","891,339"
"Полікомбанк","41,753","270,130","527,587","246,286","882,252"
"АТ ""ОКСІ БАНК""","32,874","206,696","416,194","205,012","708,915"
"АТ ""ЄПБ""","67,159","283,350","196,586","298,077","624,676"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","19,398","201,411","124,910","10,482","510,944"
"АТ ""Український банк реконструкції та розвитку""","18,564","172,582","96,761","0","451,199"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","18,234","244,894","133,816","107,453","392,758"
"АТ ""БАНК ""ПОРТАЛ""","41,522","219,164","42,250","166,601","334,652"
"АТ ""АЛЬПАРІ БАНК""","29,065","208,102","31,830","34,405","250,522"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПриватБанк""","6,345,306","54,197,457","300,277,599","56,465,196","554,920,283"
"АТ ""Ощадбанк""","2,898,216","22,043,651","207,928,348","43,986,593","288,524,034"
"АТ ""Укрексімбанк""","802,966","10,334,542","124,381,783","15,883,612","241,407,735"
"АБ ""УКРГАЗБАНК""","1,189,447","8,563,087","112,984,578","20,083,250","139,650,566"
"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","5,317","264,242","103,388","0","390,725"
"Усього по банках з державною часткою","11,241,253","95,402,978","745,675,695","136,418,651","1,224,893,341"
"Банки іноземних банківських груп","","","","",""
"АТ ""Райффайзен Банк Аваль""","1,811,932","13,945,473","91,197,449","35,555,983","113,723,223"
"АТ ""АЛЬФА-БАНК""","1,415,579","10,620,188","74,451,441","27,739,246","110,644,208"
"АТ ""УКРСИББАНК""","789,310","8,377,356","56,671,210","18,706,570","69,113,888"
"АТ ""ОТП БАНК""","1,013,192","10,235,798","49,068,606","21,911,477","65,579,282"
"АТ ""СБЕРБАНК""","405,630","9,897,074","5,889,720","650,531","64,743,334"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","662,378","5,473,308","42,819,881","17,942,704","51,977,969"
"ПАТ ""Промінвестбанк""","80,640","2,826,724","44,051","712,198","29,151,944"
"АТ ""СІТІБАНК""","271,988","2,870,790","24,192,717","322,288","27,690,298"
"АТ ""ПРОКРЕДИТ БАНК""","299,014","3,965,969","18,366,760","12,659,242","27,599,794"
"АТ ""КРЕДОБАНК""","483,703","3,412,062","18,050,045","11,723,130","27,206,933"
"АТ ""ІНГ Банк Україна""","110,582","4,010,359","7,118,407","4,485,487","12,119,077"
"АТ ""Ідея Банк""","432,908","935,662","3,595,462","4,015,061","8,030,573"
"АТ ""ПРАВЕКС БАНК""","79,734","1,669,958","5,308,233","1,902,508","7,231,733"
"АТ ""ПІРЕУС БАНК МКБ""","56,271","657,078","2,813,268","1,192,678","4,452,258"
"АТ ""Дойче Банк ДБУ""","23,731","379,371","2,814,715","429,982","3,227,703"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","22,389","653,804","2,158,633","298,949","2,848,944"
"АТ ""БАНК ФОРВАРД""","123,077","371,391","1,917,806","1,494,978","2,570,180"
"АТ ""КРЕДИТВЕСТ БАНК""","27,506","455,701","851,056","492,144","1,870,880"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","19,902","432,891","260,682","123,100","873,126"
"АТ ""БТА БАНК""","5,225","245,118","103,432","1,675","457,331"
"Усього по банках іноземних банківських груп","8,134,691","81,436,075","407,693,575","162,359,934","631,112,680"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","2,029,068","9,420,652","66,780,047","31,319,853","90,170,349"
"АТ ""УНІВЕРСАЛ БАНК""","978,101","3,518,438","30,145,472","16,610,015","41,579,450"
"Акціонерний банк ""Південний""","434,457","3,279,185","23,799,527","9,445,867","35,216,765"
"АТ ""ТАСКОМБАНК""","387,960","3,164,509","17,561,538","8,198,418","25,888,143"
"АТ ""БАНК КРЕДИТ ДНІПРО""","157,657","1,434,265","9,026,963","2,343,006","16,850,229"
"ПАТ ""БАНК ВОСТОК""","217,216","1,068,755","14,487,503","4,146,790","16,556,215"
"АТ ""А - БАНК""","528,470","1,357,255","8,292,080","7,057,277","11,346,906"
"АТ ""МЕГАБАНК""","50,603","1,140,641","6,959,714","3,400,221","10,495,104"
"АТ ""БАНК АЛЬЯНС""","51,125","605,607","5,797,530","2,275,311","9,157,910"
"ПАТ ""МТБ БАНК""","115,878","904,566","6,261,440","2,154,879","8,192,057"
"ПуАТ ""КБ ""АКОРДБАНК""","110,399","320,664","4,507,217","1,583,407","7,867,615"
"АТ ""КБ ""ГЛОБУС""","102,507","507,021","3,595,210","3,085,314","5,636,170"
"АТ ""БАНК СІЧ""","48,729","179,151","2,298,885","791,372","5,258,496"
"АТ АКБ ""Львів""","58,743","469,730","2,780,797","2,546,689","5,086,922"
"АКБ ""ІНДУСТРІАЛБАНК""","66,968","1,267,653","2,590,602","974,053","4,723,526"
"АТ ""КІБ""","49,338","345,262","2,725,340","1,312,881","4,481,161"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","58,135","603,727","3,111,173","1,057,764","4,474,116"
"АТ ""КРИСТАЛБАНК""","44,371","309,879","3,033,263","409,989","4,467,746"
"АТ ""МІБ""","15,080","417,104","2,229,142","596,008","4,182,851"
"АБ ""КЛІРИНГОВИЙ ДІМ""","38,772","659,448","2,482,636","775,510","3,814,113"
"АТ ""АБ ""РАДАБАНК""","50,376","351,180","2,299,275","901,088","3,479,053"
"АТ ""АКБ ""КОНКОРД""","26,875","338,616","1,882,416","427,066","3,380,353"
"АТ ""Полтава-банк""","38,822","807,610","2,157,238","972,610","3,189,529"
"АТ ""РВС БАНК""","25,754","281,267","1,530,477","268,141","3,100,348"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","32,267","363,343","1,716,701","477,366","2,642,920"
"АТ ""АЙБОКС БАНК""","22,255","362,853","1,838,427","123,422","2,476,530"
"АТ ""БАНК АВАНГАРД""","20,002","236,949","923,009","52,371","2,117,185"
"АТ ""БАНК ""ГРАНТ""","34,527","617,458","1,237,938","770,641","2,004,642"
"АТ ""УКРБУДІНВЕСТБАНК""","21,705","237,407","1,243,499","597,116","1,970,554"
"АТ ""АП БАНК""","23,337","333,597","1,071,567","923,118","1,952,326"
"АТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","15,077","248,358","870,994","298,584","1,664,536"
"АТ ""МОТОР-БАНК""","11,278","290,072","1,148,554","476,252","1,508,470"
"АТ ""АСВІО БАНК""","20,091","481,441","817,907","346,390","1,411,019"
"АТ ""МетаБанк""","16,578","360,086","652,164","493,816","1,385,943"
"АТ ""КОМІНВЕСТБАНК""","6,201","311,336","943,068","296,563","1,360,143"
"АТ ""БАНК 3/4""","28,754","545,480","308,274","179,334","1,295,000"
"АТ ""СКАЙ БАНК""","9,008","191,199","449,832","149,615","1,069,259"
"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","11,675","244,686","645,286","417,984","936,844"
"АТ ""АЛЬТБАНК""","14,403","248,396","571,600","196,023","874,533"
"Полікомбанк","8,155","271,573","489,809","344,827","854,632"
"АТ ""ЮНЕКС БАНК""","16,748","239,348","522,087","134,454","803,796"
"АТ ""ЄПБ""","15,828","285,175","298,939","293,247","727,546"
"АТ ""ОКСІ БАНК""","22,431","218,776","409,691","203,053","703,058"
"АТ ""Український банк реконструкції та розвитку""","4,743","162,958","82,424","0","447,953"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","4,269","205,179","49,443","2,593","388,677"
"АТ ""БАНК ""ПОРТАЛ""","8,440","220,042","28,617","148,779","320,192"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","5,716","245,025","55,732","99,914","314,124"
"АТ ""АЛЬПАРІ БАНК""","3,851","203,271","22,969","36,175","269,358"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПриватБанк""","13,329,861","43,731,439","304,872,959","60,785,115","548,750,291"
"АТ ""Ощадбанк""","5,997,434","21,375,800","202,665,630","46,713,281","276,441,937"
"АТ ""Укрексімбанк""","1,873,678","11,058,226","137,136,929","20,557,436","246,810,243"
"АБ ""УКРГАЗБАНК""","2,489,508","8,927,306","108,337,080","22,904,630","134,720,202"
"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","10,939","263,929","46,204","0","343,114"
"Усього по банках з державною часткою","23,701,421","85,356,700","753,058,801","150,960,462","1,207,065,786"
"Банки іноземних банківських груп","","","","",""
"АТ ""Райффайзен Банк""","3,835,632","13,123,968","98,032,104","41,770,935","122,471,901"
"АТ ""АЛЬФА-БАНК""","2,875,488","11,075,166","79,376,305","29,967,696","115,596,672"
"АТ ""УКРСИББАНК""","1,659,837","8,606,672","59,686,650","19,015,537","72,622,090"
"АТ ""ОТП БАНК""","2,131,009","9,672,065","48,162,383","25,278,810","63,899,718"
"АТ ""СБЕРБАНК""","810,725","11,512,905","5,559,107","463,178","63,845,980"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","1,363,529","5,821,211","42,215,639","19,916,356","51,766,149"
"ПАТ ""Промінвестбанк""","161,573","2,742,431","65,067","707,295","28,837,994"
"АТ ""ПРОКРЕДИТ БАНК""","633,205","3,603,147","18,199,027","14,954,662","28,611,531"
"АТ ""КРЕДОБАНК""","963,807","3,602,976","18,730,115","13,703,063","28,253,806"
"АТ ""СІТІБАНК""","596,511","1,889,109","24,518,630","2,661,172","26,976,931"
"АТ ""ІНГ Банк Україна""","239,664","3,709,730","8,778,320","4,177,294","12,699,393"
"АТ ""Ідея Банк""","922,989","1,043,799","3,896,965","4,332,236","8,583,315"
"АТ ""ПРАВЕКС БАНК""","168,012","1,634,119","6,205,257","2,224,638","8,091,342"
"АТ ""Дойче Банк ДБУ""","56,050","338,988","4,233,755","395,260","4,655,800"
"АТ ""ПІРЕУС БАНК МКБ""","117,744","657,021","2,747,381","1,851,670","4,391,083"
"АТ ""БАНК ФОРВАРД""","283,905","396,586","1,955,626","1,534,568","2,656,365"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","47,458","663,531","1,660,053","174,646","2,361,615"
"АТ ""КРЕДИТВЕСТ БАНК""","53,931","456,103","937,884","555,744","2,072,518"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","35,622","409,524","651,287","192,769","1,214,837"
"АТ ""БТА БАНК""","13,598","235,807","105,216","334","511,999"
"Усього по банках іноземних банківських груп","16,970,288","81,194,860","425,716,771","183,877,862","650,121,039"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","4,234,302","10,345,451","70,166,755","36,558,415","95,833,419"
"АТ ""УНІВЕРСАЛ БАНК""","2,207,426","4,308,659","32,519,933","19,150,445","44,734,356"
"Акціонерний банк ""Південний""","873,588","3,411,854","25,886,032","11,382,452","38,011,847"
"АТ ""ТАСКОМБАНК""","835,174","2,977,735","17,037,168","8,562,178","25,226,368"
"АТ ""БАНК КРЕДИТ ДНІПРО""","343,760","1,914,205","9,346,297","2,961,666","18,103,598"
"ПАТ ""БАНК ВОСТОК""","455,225","1,109,820","14,191,914","4,696,828","16,415,271"
"АТ ""А - БАНК""","1,109,303","1,435,133","9,096,278","7,612,869","12,381,112"
"АТ ""БАНК АЛЬЯНС""","94,427","613,654","7,353,441","2,654,161","11,155,512"
"ПуАТ ""КБ ""АКОРДБАНК""","228,077","323,007","4,631,743","1,290,145","11,058,166"
"АТ ""МЕГАБАНК""","106,971","1,144,411","7,014,985","3,544,271","10,208,590"
"ПАТ ""МТБ БАНК""","244,666","924,048","7,135,385","2,380,492","10,193,512"
"АТ ""КБ ""ГЛОБУС""","212,626","517,707","4,203,437","3,166,684","6,339,813"
"АТ ""АЙБОКС БАНК""","60,361","428,023","5,165,443","76,364","6,270,556"
"АТ ""КІБ""","117,480","363,516","2,947,426","1,574,082","5,809,222"
"АТ АКБ ""Львів""","140,188","586,103","2,885,356","2,975,928","5,578,325"
"АТ ""БАНК СІЧ""","96,350","176,193","2,479,253","941,609","5,534,657"
"АКБ ""ІНДУСТРІАЛБАНК""","130,320","1,251,990","2,459,270","1,034,325","5,049,113"
"АТ ""КРИСТАЛБАНК""","98,378","328,547","3,136,498","398,521","4,649,488"
"АТ ""МІБ""","24,211","421,797","2,239,677","767,451","4,577,707"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","114,069","610,617","3,187,123","979,167","4,568,436"
"АТ ""АКБ ""КОНКОРД""","72,203","353,027","2,006,902","352,997","4,456,692"
"АБ ""КЛІРИНГОВИЙ ДІМ""","86,652","655,198","2,814,669","954,604","4,101,547"
"АТ ""АБ ""РАДАБАНК""","107,234","357,701","2,561,729","1,109,820","4,038,615"
"АТ ""РВС БАНК""","60,123","281,556","1,510,985","268,267","3,629,521"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","64,874","366,580","2,748,438","394,653","3,400,248"
"АТ ""Полтава-банк""","82,387","785,647","2,057,777","1,029,484","3,133,459"
"АТ ""БАНК АВАНГАРД""","37,892","235,687","843,137","49,658","2,589,449"
"АТ ""УКРБУДІНВЕСТБАНК""","47,032","248,454","1,280,744","705,638","2,349,667"
"АТ ""БАНК ""ГРАНТ""","71,472","582,249","1,388,231","650,015","2,126,077"
"АТ ""АП БАНК""","52,986","335,892","943,992","1,109,268","1,998,866"
"АТ ""СКАЙ БАНК""","20,704","194,957","567,325","151,965","1,820,788"
"АТ ""МетаБанк""","37,248","373,536","900,185","421,137","1,778,906"
"АТ ""МОТОР-БАНК""","28,115","294,905","1,235,952","570,780","1,735,875"
"АТ ""БАНК 3/4""","57,288","532,813","471,852","162,955","1,660,968"
"АТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","32,462","248,534","807,668","332,265","1,566,220"
"АТ ""КОМІНВЕСТБАНК""","9,748","371,647","972,408","287,711","1,440,618"
"АТ ""АСВІО БАНК""","41,848","481,806","813,567","372,037","1,427,508"
"АТ ""ЮНЕКС БАНК""","35,072","223,737","667,112","126,212","1,159,971"
"АТ ""АЛЬТБАНК""","28,611","248,445","602,176","292,208","961,086"
"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","21,429","180,472","595,153","381,512","873,990"
"Полікомбанк","17,142","272,748","521,114","305,004","870,282"
"АТ ""ЄПБ""","32,133","287,227","346,832","289,897","782,162"
"АТ ""ОКСІ БАНК""","46,190","220,163","436,163","190,060","732,905"
"АТ ""Український банк реконструкції та розвитку""","7,680","171,764","64,274","0","492,943"
"АТ ""БАНК ""ПОРТАЛ""","17,292","219,791","68,048","141,825","359,843"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","9,086","210,369","43,678","2,323","357,706"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","11,124","241,959","54,773","106,133","309,914"
"АТ ""АЛЬПАРІ БАНК""","8,685","202,689","5,184","34,459","259,204"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПриватБанк""","21,002,208","53,318,973","298,915,569","63,748,041","550,327,570"
"АТ ""Ощадбанк""","9,268,223","21,660,022","188,188,818","49,855,378","247,440,962"
"АТ ""Укрексімбанк""","3,162,716","11,682,639","126,402,948","27,463,937","233,011,663"
"АБ ""УКРГАЗБАНК""","3,885,582","9,869,030","91,105,118","25,874,170","121,190,175"
"Усього по банках з державною часткою","37,318,730","96,530,665","704,612,455","166,941,525","1,151,970,371"
"Банки іноземних банківських груп","","","","",""
"АТ ""Райффайзен Банк""","5,940,385","14,414,842","101,926,397","46,346,946","125,025,499"
"АТ ""АЛЬФА-БАНК""","4,507,596","12,085,043","80,646,429","35,521,503","115,433,764"
"АТ ""УКРСИББАНК""","2,645,805","9,126,074","64,387,950","22,560,844","77,558,555"
"АТ ""ОТП БАНК""","3,340,836","10,429,215","51,859,869","28,044,312","68,058,283"
"АТ ""СБЕРБАНК""","1,160,558","12,914,296","5,277,099","313,595","58,396,811"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","2,121,187","6,204,398","46,820,621","26,050,659","57,581,017"
"АТ ""СІТІБАНК""","1,029,842","2,368,258","31,384,994","3,799,490","34,381,157"
"АТ ""КРЕДОБАНК""","1,466,707","3,806,345","20,435,732","15,367,262","30,467,897"
"АТ ""ПРОКРЕДИТ БАНК""","999,916","3,813,590","19,230,982","15,539,752","30,007,711"
"ПАТ ""Промінвестбанк""","149,740","2,630,141","27,497","706,187","28,604,870"
"АТ ""ІНГ Банк Україна""","373,783","3,783,370","11,391,197","4,832,645","15,373,505"
"АТ ""Ідея Банк""","1,478,466","1,201,017","4,276,117","4,664,570","9,405,874"
"АТ ""ПРАВЕКС БАНК""","266,945","1,588,624","6,533,596","2,923,624","8,377,364"
"АТ ""ПІРЕУС БАНК МКБ""","184,543","671,107","2,942,064","1,968,013","4,795,916"
"АТ ""Дойче Банк ДБУ""","84,808","344,363","4,030,387","334,535","4,416,074"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","75,037","673,645","1,996,024","390,912","2,702,983"
"АТ ""БАНК ФОРВАРД""","461,593","428,003","1,909,279","1,531,317","2,649,203"
"АТ ""КРЕДИТВЕСТ БАНК""","81,802","460,192","784,342","540,288","2,093,913"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","54,962","415,124","428,330","279,800","1,022,819"
"АТ ""БТА БАНК""","21,219","231,370","142,115","345","491,607"
"Усього по банках іноземних банківських груп","26,445,731","87,589,017","456,431,021","211,716,598","676,844,822"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","6,580,978","11,378,879","84,147,766","39,565,482","111,767,610"
"АТ ""УНІВЕРСАЛ БАНК""","3,608,843","6,154,604","34,638,116","21,091,788","50,870,196"
"Акціонерний банк ""Південний""","1,336,190","3,582,278","28,417,713","12,703,510","40,722,966"
"АТ ""ТАСКОМБАНК""","1,286,977","3,049,967","17,590,196","9,987,468","26,187,899"
"АТ ""БАНК КРЕДИТ ДНІПРО""","556,301","1,960,267","10,425,388","3,917,888","19,781,863"
"ПАТ ""БАНК ВОСТОК""","701,728","1,208,203","14,644,202","4,844,828","16,881,608"
"АТ ""А - БАНК""","1,747,282","1,665,461","11,061,339","8,326,541","14,840,884"
"АТ ""БАНК АЛЬЯНС""","130,066","724,231","8,967,562","2,786,990","12,837,331"
"ПуАТ ""КБ ""АКОРДБАНК""","366,813","344,426","5,414,663","1,266,152","11,825,101"
"ПАТ ""МТБ БАНК""","389,620","931,080","7,790,166","2,422,229","11,002,676"
"АТ ""МЕГАБАНК""","179,307","1,159,048","7,555,990","4,052,812","10,439,799"
"АТ ""КІБ""","201,936","402,409","3,461,538","1,459,016","7,293,183"
"АТ ""АКБ ""КОНКОРД""","134,237","409,584","2,144,713","358,587","6,655,967"
"АТ АКБ ""Львів""","224,457","609,880","3,226,720","3,310,252","6,044,393"
"АТ ""КБ ""ГЛОБУС""","335,098","576,431","3,880,721","3,124,596","5,901,851"
"АТ ""БАНК СІЧ""","143,747","189,905","2,737,690","957,879","5,835,247"
"АТ ""МІБ""","31,669","430,127","3,279,163","786,851","5,676,024"
"АТ ""КРИСТАЛБАНК""","156,559","348,574","3,864,518","440,027","5,490,717"
"АТ ""АЙБОКС БАНК""","112,245","643,908","4,283,858","69,187","5,394,885"
"АКБ ""ІНДУСТРІАЛБАНК""","203,191","1,271,109","2,392,681","1,118,513","5,016,590"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","169,968","624,500","2,935,054","1,123,660","4,362,299"
"АТ ""РВС БАНК""","101,910","278,127","1,665,469","180,915","4,285,470"
"АТ ""АБ ""РАДАБАНК""","165,969","388,126","2,554,067","1,130,702","4,172,815"
"АБ ""КЛІРИНГОВИЙ ДІМ""","141,599","691,873","2,713,481","978,225","4,059,483"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","96,061","376,088","3,192,931","346,113","3,697,981"
"АТ ""Полтава-банк""","127,403","815,162","2,176,971","1,183,248","3,253,217"
"АТ ""БАНК АВАНГАРД""","55,295","237,214","912,719","51,330","2,588,564"
"АТ ""СКАЙ БАНК""","37,890","203,772","799,235","196,294","2,206,135"
"АТ ""МОТОР-БАНК""","46,649","305,319","1,375,687","475,080","2,163,862"
"АТ ""УКРБУДІНВЕСТБАНК""","71,725","254,615","1,183,326","684,334","2,130,410"
"АТ ""АП БАНК""","84,563","345,532","1,022,997","1,129,914","2,117,715"
"АТ ""БАНК ""ГРАНТ""","104,337","591,634","1,440,991","767,723","2,095,727"
"АТ ""МетаБанк""","57,445","388,177","907,901","404,552","1,765,512"
"АТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","50,225","248,286","987,536","412,956","1,758,053"
"АТ ""БАНК 3/4""","90,270","525,739","358,877","135,390","1,640,447"
"АТ ""ЮНЕКС БАНК""","59,161","213,890","959,552","136,867","1,504,788"
"АТ ""АСВІО БАНК""","64,064","484,444","889,660","481,861","1,491,505"
"АТ ""КОМІНВЕСТБАНК""","12,047","311,984","1,040,120","258,600","1,443,822"
"АТ ""АЛЬТБАНК""","44,081","252,488","759,875","269,402","1,073,907"
"АТ ""ЄПБ""","49,636","299,010","625,076","261,533","1,066,011"
"Полікомбанк","26,644","274,907","527,984","423,366","878,044"
"АТ ""ОКСІ БАНК""","66,753","226,995","415,481","163,242","716,523"
"АТ ""Український банк реконструкції та розвитку""","15,050","169,205","68,524","0","609,079"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","17,767","242,362","127,560","83,858","381,360"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","14,881","212,937","38,632","3,352","357,206"
"АТ ""БАНК ""ПОРТАЛ""","26,180","219,697","50,345","164,386","344,397"
"АТ ""АЛЬПАРІ БАНК""","14,925","200,018","28,069","7,217","245,699"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПриватБанк""","29,316,919","66,614,525","321,705,424","66,743,333","582,851,091"
"АТ ""Ощадбанк""","13,364,517","21,869,889","188,933,317","52,226,616","249,937,975"
"АТ ""Укрексімбанк""","4,580,940","12,447,354","121,473,150","30,374,823","210,062,743"
"АБ ""УКРГАЗБАНК""","5,259,516","11,630,901","96,716,590","27,631,652","130,263,426"
"Усього по банках з державною часткою","52,521,891","112,562,669","728,828,481","176,976,424","1,173,115,235"
"Банки іноземних банківських груп","","","","",""
"АТ ""Райффайзен Банк""","8,204,160","15,579,500","107,296,762","50,071,979","133,651,482"
"АТ ""АЛЬФА-БАНК""","6,332,587","12,905,990","89,497,286","38,194,125","125,348,950"
"АТ ""УКРСИББАНК""","3,727,374","9,545,420","66,124,985","24,330,769","79,519,998"
"АТ ""ОТП БАНК""","4,682,147","11,060,381","56,867,213","29,670,002","73,425,468"
"АТ ""МР БАНК"" *","1,433,278","13,305,787","6,142,546","319,044","58,880,407"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","2,972,450","6,698,501","45,741,242","24,975,367","56,671,964"
"АТ ""КРЕДОБАНК""","1,990,277","3,948,294","24,296,007","14,717,849","33,989,948"
"АТ ""СІТІБАНК""","1,543,570","2,879,491","30,378,899","4,818,962","33,770,215"
"АТ ""ПРОКРЕДИТ БАНК""","1,382,659","4,011,172","20,474,626","16,363,000","32,301,758"
"ПАТ ""Промінвестбанк"" *","202,089","2,931,344","29,189","767,160","27,460,523"
"АТ ""ІНГ Банк Україна""","514,452","3,857,763","9,005,542","4,140,630","13,648,408"
"АТ ""Ідея Банк""","2,064,947","1,463,115","4,160,257","4,804,462","9,951,302"
"АТ ""ПРАВЕКС БАНК""","374,261","1,478,613","7,281,580","3,061,924","9,473,459"
"АТ ""ПІРЕУС БАНК МКБ""","257,062","699,691","3,576,018","2,020,388","5,767,175"
"АТ ""Дойче Банк ДБУ""","115,560","334,980","4,964,040","301,303","5,347,645"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","103,114","686,383","2,178,082","356,958","3,203,314"
"АТ ""БАНК ФОРВАРД""","626,280","474,033","1,851,654","1,489,018","2,762,871"
"АТ ""КРЕДИТВЕСТ БАНК""","108,592","466,024","1,076,850","710,730","2,328,564"
"АТ ""КРЕДИТ ЄВРОПА БАНК"" *","75,526","430,863","701,160","142,592","1,276,155"
"АТ ""БТА БАНК""","28,871","223,187","144,072","350","455,001"
"Усього по банках іноземних банківських груп","36,739,255","92,980,531","481,788,010","221,256,612","709,234,609"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","9,230,891","12,561,293","80,648,384","42,530,521","110,134,996"
"АТ ""УНІВЕРСАЛ БАНК""","5,182,760","6,724,307","42,765,180","23,461,027","60,207,207"
"Акціонерний банк ""Південний""","1,818,306","3,758,482","37,014,990","11,660,298","49,027,713"
"АТ ""ТАСКОМБАНК""","1,814,420","3,124,268","22,818,511","11,523,353","31,646,069"
"АТ ""БАНК КРЕДИТ ДНІПРО""","803,867","1,792,838","14,481,740","4,167,131","23,562,199"
