"Назва","Чистий процентний дохід/(Чисті процентні витрати)","Усього власного капіталу","Кошти клієнтів","Кредити та заборгованість клієнтів","Загальні активи, усього"
"АТ ""Райффайзен Банк Аваль""","3,532,389","10,481,935","61,106,972","36,310,543","84,823,019"
"АТ ""АЛЬФА-БАНК""","2,006,728","5,953,710","54,361,710","17,612,339","72,158,770"
"АТ ""СБЕРБАНК""","1,367,683","7,715,627","7,149,779","1,835,357","63,037,910"
"АТ ""УКРСИББАНК""","2,196,429","5,656,067","40,991,939","16,538,689","55,588,588"
"ПАТ ""Промінвестбанк""","367,031","3,537,708","2,764,997","1,166,316","43,985,424"
"АТ ""ОТП БАНК""","1,786,229","6,532,164","28,618,459","17,413,658","42,025,685"
"АТ ""КРЕДІ АГРІКОЛЬ БАНК""","1,198,208","4,209,213","30,776,415","18,055,213","40,033,055"
"АТ ""УКРСОЦБАНК""","331,770","2,600,737","951,267","2,703,671","33,129,974"
"АТ ""СІТІБАНК""","968,718","2,007,769","21,899,565","4,085,456","24,292,809"
"АТ ""ПРОКРЕДИТ БАНК""","598,913","3,304,981","12,596,713","11,575,255","22,055,914"
"АТ ""КРЕДОБАНК""","707,179","2,250,503","12,608,455","8,735,453","18,220,563"
"АТ ""ІНГ Банк Україна""","526,102","3,942,438","6,448,372","4,995,416","11,413,285"
"АТ ""Ідея Банк""","756,919","717,835","3,961,247","3,799,189","7,013,319"
"АТ ""ПРАВЕКС БАНК""","199,710","1,983,973","2,634,979","642,051","4,860,559"
"АТ ""ПІРЕУС БАНК МКБ""","110,683","627,482","1,734,929","793,506","2,828,856"
"АТ ""БАНК ФОРВАРД""","127,951","272,054","1,476,996","1,099,447","2,637,586"
"АТ ""Дойче Банк ДБУ""","72,800","353,311","2,155,478","1,075,086","2,562,346"
"АТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","70,797","574,532","1,260,753","868,386","2,271,620"
"АТ ""КРЕДИТ ЄВРОПА БАНК""","35,984","361,430","301,561","273,842","1,660,779"
"АТ ""КРЕДИТВЕСТ БАНК""","54,797","420,919","732,476","645,956","1,579,299"
"АТ ""БТА БАНК""","14,614","359,959","113,352","55,966","583,153"
"Усього по банках іноземних банківських груп","17,031,635","63,864,349","294,646,414","150,280,796","536,762,513"
"Банки з приватним капіталом","","","","",""
"АТ ""ПУМБ""","2,453,726","7,620,513","40,041,651","19,691,339","59,857,988"
"Акціонерний банк ""Південний""","618,902","2,664,214","16,939,918","7,508,900","25,832,981"
"АТ ""ТАСКОМБАНК""","651,699","2,250,245","13,757,261","6,972,523","19,061,579"
"АТ ""УНІВЕРСАЛ БАНК""","452,967","1,136,483","10,159,892","5,535,587","14,094,968"
"АТ ""БАНК КРЕДИТ ДНІПРО""","80,384","1,073,766","7,718,559","2,256,503","12,260,785"
"ПАТ ""БАНК ВОСТОК""","310,521","760,118","7,636,745","3,271,963","10,134,261"
"АТ ""МЕГАБАНК""","68,259","949,226","6,488,869","2,864,150","9,866,808"
"АТ ""МІБ""","74,533","381,098","5,948,031","1,103,673","7,506,670"
"АТ ""А - БАНК""","589,739","829,967","4,257,116","3,944,329","6,439,369"
"ПАТ ""МТБ БАНК""","133,218","715,578","4,077,891","1,419,113","5,244,459"
"АКБ ""ІНДУСТРІАЛБАНК""","167,455","1,275,266","3,050,039","1,303,698","4,946,829"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","68,194","541,410","3,099,331","1,204,112","4,213,758"
"АТ ""БАНК АЛЬЯНС""","75,510","426,821","2,476,970","1,544,328","3,136,573"
"АТ ""КБ ""ГЛОБУС""","60,598","322,473","2,224,213","1,759,233","3,087,072"
